藥品代碼,商品名稱,藥品學名,藥品中文名,ATC_CODE1,藥品分類代碼說明,DC藥預設替代藥,盤點分類,衛署適應症,商品名
ABI02O,Abilify 5mg Tab#,ARIPIPRAZOLE,安立復(藍色略橢圓形)5毫克錠,N05AX12,口服藥,,口服,成人和青少年(13至17歲)的思覺失調症。成人和兒童(10至17歲)的雙極性疾患之躁症發作及混合型發作，可單獨使用或做為鋰鹽或Valproate的輔助治療。第一型雙極性疾患維持治療之鋰鹽或valproate的輔助治療。重鬱症之輔助 ...後略，請點選【藥品仿單】分頁查閱,ABILIFY
ABI03O,ABILIFY 15mg Tab#,ARIPIPRAZOLE,安立復(黃色圓形)15毫克錠,N05AX12,口服藥,,口服,成人和青少年(13至17歲)的思覺失調症。成人和兒童(10至17歲)的雙極性疾患之躁症發作及混合型發作，可單獨使用或做為鋰鹽或Valproate的輔助治療。第一型雙極性疾患維持治療之鋰鹽或valproate的輔助治療。重鬱症之輔助 ...後略，請點選【藥品仿單】分頁查閱,ABILIFY
ABI04I,Abilify maintena 400mg Syringe,ARIPIPRAZOLE,安立復美達持續性藥效肌肉注射用懸浮劑400毫克/小瓶,N05AX12,注射藥預設一份,,針劑,治療成人的思覺失調症。成人的第一型雙極性疾患維持治療之單一療法。,ABILIFY
ABI04O,Abiratred FC 250mg Tab,ABIRATERONE ACETATE,愛瑞治(白色橢圓形)膜衣錠,L02BX03,口服化學治療藥物,,口服,與prednisone或prednisolone併用，適用於治療下列病人：(1) 轉移性的去勢抗性前列腺癌 (CRPC)，且在雄性素去除療法失敗後屬無症狀或輕度症狀而尚未需要使用化學治療。 (2) 轉移性的去勢抗性前列腺癌，且已接受過doce ...後略，請點選【藥品仿單】分頁查閱,ABIRATRED
ACA01O,Acarose 50mg Tab#,ACARBOSE,降醣佳(白色圓凸形)50毫克錠,A10BF01,口服藥,,口服,非胰島素依賴型糖尿病之治療。,ACAROSE
ACA02O,A-Cal 500mg Tab,CALCIUM CARBONATE 500MG,佳立鈣(淡黃色圓扁形)錠,A02AC01,口服藥,,口服,緩解胃部不適或灼熱感、或經診斷為胃及十二指腸潰瘍、胃炎、食道炎所伴隨之胃酸過多。,A-CAL
ACD01I,ACD Solution-C Bot,"SODIUM CITRATE, CITRIC ACID",抗血液凝固枸櫞酸鹽葡萄糖液C,B05CB02,處置用藥,,針劑,血液保存,ACD
ACE01I,Acemycin 500mg/2ml Vial#,AMIKACIN SULFATE,時欣黴素250公絲/公撮注射液,J01GB06,注射藥,,針劑,對ＧＥＮＴＡＭＩＣＩＮ具耐藥性之綠膿菌、變形菌、鋸桿菌、大腸菌、克雷白氏桿菌、腸內桿菌、檸檬桿菌屬ＣＩＴＲＯＢＡＣＴＥＲ等對於ＡＭＩＫＡＣＩＮ具敏感性之細菌所引起之下列感染症：敗血症、支氣管擴張症之感 ...後略，請點選【藥品仿單】分頁查閱,ACEMYCIN
ACE02I,Acetamol 1gm Vial,PROPACETAMOL,舒疼消熱注射劑,N02BE05,注射藥,,針劑,在無法使用口服投藥方式時，用於疼痛或發燒之症狀治療。,ACETAMOL
ACE04O,Acemet 60mg Cap,ACEMETACIN,艾斯美特(鮮橙/白色長圓柱形)膠囊,M01AB11,口服藥,,口服,風濕性關炎、退化性關節炎（骨關節炎）、僵直性脊椎炎、痛風、肌肉炎、腱鞘炎、滑囊炎,ACEMET
ACE05O,Acetazolamide 250mg Tab,ACETAZOLAMIDE,乙醯氮胺片(白色圓扁形)錠劑,S01EC01,口服藥,,口服,青光眼及下列疾患之輔助治療：水腫、癲癇,ACETAZOLAMIDE
ACL01E,Aclovir Cream 5% 5gm,ACYCLOVIR,艾剋樂芙乳膏,D06BB03,外用預設一份,,外用,由單純庖疹引起之感染。,ACLOVIR
ACL01I,Aclasta 5mg/100ml Vial#,ZOLEDRONIC ACID,骨力強注射劑,M05BA08,注射藥,,針劑,治療骨佩吉特氏病 (Paget’s disease of bone)治療停經後婦女的骨質疏鬆症，以降低發生髖關節、脊椎與非脊椎性骨折的機率，並增加骨密度。男性骨質疏鬆症之治療，以增加骨密度。Aclasta適用於治療及預防男性與女性因 ...後略，請點選【藥品仿單】分頁查閱,ACLASTA
